#,Clube,Nome,Gols,Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore,Categoria,Desarmes,Interceptações,Cortes,Erros que levaram ao gol,Grandes chances criadas,Assistências,Passes certos,Passes certos %,Passes decisivos,Defesas,Jogos sem ser vazado,Pênalti defendido,Defesas de dentro da área,Saídas do gol
207,Paris Saint-Germain,Thiago Silva,0.0,0.0,0.0,3.0,0.0,7.24,7.24,Ataque,,,,,,,,,,,,,,
208,Real Madrid,Éder Militão,0.0,0.0,4.0,1.0,0.0,7.23,7.23,Ataque,,,,,,,,,,,,,,
209,Barcelona,Arthur,0.0,0.0,7.0,2.0,0.0,7.23,7.23,Ataque,,,,,,,,,,,,,,
210,Atlético Madrid,Kieran Trippier,0.0,1.0,3.0,2.0,0.0,7.22,7.22,Ataque,,,,,,,,,,,,,,
211,Tottenham Hotspur,Tanguy Ndombélé,0.0,0.0,17.0,4.0,0.0,7.2,7.2,Ataque,,,,,,,,,,,,,,
212,Club Brugge KV,Matej Mitrović,0.0,0.0,0.0,1.0,0.0,7.2,7.2,Ataque,,,,,,,,,,,,,,
213,Paris Saint-Germain,Tanguy Nianzou,0.0,0.0,0.0,0.0,0.0,7.2,7.2,Ataque,,,,,,,,,,,,,,
214,Bayer 04 Leverkusen,Wendell,0.0,0.0,4.0,4.0,0.0,7.2,7.2,Ataque,,,,,,,,,,,,,,
215,Napoli,Kalidou Koulibaly,0.0,0.0,4.0,7.0,0.0,7.2,7.2,Ataque,,,,,,,,,,,,,,
216,Paris Saint-Germain,Marco Verratti,0.0,0.0,8.0,1.0,0.0,7.18,7.18,Ataque,,,,,,,,,,,,,,
217,Benfica,Adel Taarabt,0.0,1.0,11.0,8.0,0.0,7.18,7.18,Ataque,,,,,,,,,,,,,,
218,Benfica,Alejandro Grimaldo,0.0,0.0,6.0,9.0,0.0,7.17,7.17,Ataque,,,,,,,,,,,,,,
219,Valencia,José Luis Gayà,0.0,1.0,5.0,7.0,0.0,7.17,7.17,Ataque,,,,,,,,,,,,,,
220,Red Bull Salzburg,Maximilian Wöber,0.0,0.0,5.0,5.0,0.0,7.17,7.17,Ataque,,,,,,,,,,,,,,
221,Juventus,Miralem Pjanić,0.0,0.0,1.0,9.0,0.0,7.16,7.16,Ataque,,,,,,,,,,,,,,
222,Napoli,José Callejón,0.0,3.0,0.0,8.0,0.0,7.16,7.16,Ataque,,,,,,,,,,,,,,
223,Atlético Madrid,Santiago Arias,0.0,0.0,0.0,1.0,0.0,7.15,7.15,Ataque,,,,,,,,,,,,,,
224,KRC Genk,Carlos Cuesta,0.0,0.0,1.0,0.0,0.0,7.15,7.15,Ataque,,,,,,,,,,,,,,
225,Liverpool,Virgil van Dijk,0.0,0.0,1.0,9.0,0.0,7.14,7.14,Ataque,,,,,,,,,,,,,,
226,Inter,Stefano Sensi,0.0,0.0,6.0,5.0,0.0,7.13,7.13,Ataque,,,,,,,,,,,,,,
227,Shakhtar Donetsk,Taison,0.0,0.0,14.0,9.0,0.0,7.12,7.12,Ataque,,,,,,,,,,,,,,
228,Paris Saint-Germain,Presnel Kimpembe,0.0,0.0,7.0,0.0,0.0,7.12,7.12,Ataque,,,,,,,,,,,,,,
229,Red Bull Salzburg,Zlatko Junuzović,0.0,0.0,2.0,1.0,0.0,7.12,7.12,Ataque,,,,,,,,,,,,,,
230,FC Bayern München,Benjamin Pavard,0.0,0.0,1.0,7.0,0.0,7.11,7.11,Ataque,,,,,,,,,,,,,,
231,Atlético Madrid,Renan Lodi,0.0,0.0,7.0,7.0,0.0,7.11,7.11,Ataque,,,,,,,,,,,,,,
232,AFC Ajax,Dušan Tadić,0.0,1.0,7.0,6.0,0.0,7.1,7.1,Ataque,,,,,,,,,,,,,,
233,Lille,Benjamin André,0.0,0.0,3.0,10.0,0.0,7.1,7.1,Ataque,,,,,,,,,,,,,,
234,Olympiacos FC,Konstantinos Tsimikas,0.0,0.0,14.0,2.0,0.0,7.1,7.1,Ataque,,,,,,,,,,,,,,
235,Juventus,Daniele Rugani,0.0,0.0,0.0,0.0,0.0,7.1,7.1,Ataque,,,,,,,,,,,,,,
236,Liverpool,Alisson,0.0,0.0,0.0,0.0,0.0,7.1,7.1,Ataque,,,,,,,,,,,,,,
237,Zenit St. Petersburg,Sebastián Driussi,0.0,0.0,4.0,11.0,0.0,7.1,7.1,Ataque,,,,,,,,,,,,,,
238,Juventus,Danilo,0.0,0.0,1.0,2.0,0.0,7.1,7.1,Ataque,,,,,,,,,,,,,,
239,Juventus,Leonardo Bonucci,0.0,2.0,3.0,2.0,0.0,7.1,7.1,Ataque,,,,,,,,,,,,,,
240,Manchester City,Rodri,0.0,1.0,12.0,8.0,0.0,7.09,7.09,Ataque,,,,,,,,,,,,,,
241,SK Slavia Praha,Nicolae Stanciu,0.0,0.0,5.0,21.0,0.0,7.08,7.08,Ataque,,,,,,,,,,,,,,
242,FC Bayern München,Manuel Neuer,0.0,0.0,1.0,0.0,0.0,7.08,7.08,Ataque,,,,,,,,,,,,,,
243,RB Leipzig,Angeliño,0.0,0.0,5.0,4.0,0.0,7.08,7.08,Ataque,,,,,,,,,,,,,,
244,Inter,Diego Godín,0.0,0.0,3.0,1.0,0.0,7.08,7.08,Ataque,,,,,,,,,,,,,,
245,Olympique Lyonnais,Marçal,0.0,0.0,4.0,4.0,0.0,7.07,7.07,Ataque,,,,,,,,,,,,,,
246,KRC Genk,Bryan Heynen,0.0,0.0,0.0,4.0,0.0,7.07,7.07,Ataque,,,,,,,,,,,,,,
247,Real Madrid,Eden Hazard,0.0,1.0,14.0,12.0,0.0,7.07,7.07,Ataque,,,,,,,,,,,,,,
248,Inter,Marcelo Brozović,0.0,0.0,7.0,5.0,0.0,7.07,7.07,Ataque,,,,,,,,,,,,,,
249,Napoli,Nikola Maksimović,0.0,0.0,0.0,3.0,0.0,7.07,7.07,Ataque,,,,,,,,,,,,,,
250,Juventus,Matthijs de Ligt,0.0,0.0,0.0,2.0,0.0,7.07,7.07,Ataque,,,,,,,,,,,,,,
251,Napoli,Alex Meret,0.0,0.0,0.0,0.0,0.0,7.07,7.07,Ataque,,,,,,,,,,,,,,
252,RB Leipzig,Péter Gulácsi,0.0,0.0,0.0,0.0,0.0,7.06,7.06,Ataque,,,,,,,,,,,,,,
253,Inter,Borja Valero,0.0,0.0,2.0,2.0,0.0,7.05,7.05,Ataque,,,,,,,,,,,,,,
254,FC Bayern München,David Alaba,0.0,0.0,2.0,5.0,0.0,7.05,7.05,Ataque,,,,,,,,,,,,,,
255,Tottenham Hotspur,Davinson Sánchez,0.0,1.0,2.0,1.0,0.0,7.04,7.04,Ataque,,,,,,,,,,,,,,
256,Paris Saint-Germain,Thilo Kehrer,0.0,0.0,1.0,1.0,0.0,7.04,7.04,Ataque,,,,,,,,,,,,,,
257,Borussia Dortmund,Roman Bürki,0.0,0.0,1.0,0.0,0.0,7.04,7.04,Ataque,,,,,,,,,,,,,,
258,Paris Saint-Germain,Leandro Paredes,0.0,0.0,2.0,2.0,0.0,7.03,7.03,Ataque,,,,,,,,,,,,,,
259,Bayer 04 Leverkusen,Nadiem Amiri,0.0,0.0,6.0,7.0,0.0,7.03,7.03,Ataque,,,,,,,,,,,,,,
260,Barcelona,Gerard Piqué,0.0,0.0,2.0,3.0,0.0,7.01,7.01,Ataque,,,,,,,,,,,,,,
261,FC Bayern München,Lucas Hernández,0.0,0.0,4.0,0.0,0.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
262,Inter,Stefan de Vrij,0.0,1.0,1.0,1.0,0.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
263,Tottenham Hotspur,Steven Bergwijn,0.0,0.0,1.0,3.0,0.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
264,Atalanta,Simon Kjær,0.0,0.0,0.0,1.0,0.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
265,Barcelona,Moussa Wagué,0.0,0.0,2.0,2.0,0.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
266,Barcelona,Samuel Umtiti,0.0,1.0,1.0,1.0,0.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
267,Borussia Dortmund,Mats Hummels,0.0,1.0,1.0,3.0,0.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
268,Barcelona,Marc-André ter Stegen,0.0,0.0,0.0,0.0,0.0,6.99,6.99,Ataque,,,,,,,,,,,,,,
269,Liverpool,Fabinho,0.0,0.0,4.0,6.0,0.0,6.99,6.99,Ataque,,,,,,,,,,,,,,
270,Liverpool,Jordan Henderson,0.0,0.0,1.0,6.0,0.0,6.98,6.98,Ataque,,,,,,,,,,,,,,
271,FC Bayern München,Niklas Süle,0.0,0.0,0.0,1.0,0.0,6.98,6.98,Ataque,,,,,,,,,,,,,,
272,Atlético Madrid,José María Giménez,0.0,1.0,0.0,7.0,0.0,6.98,6.98,Ataque,,,,,,,,,,,,,,
273,Juventus,Adrien Rabiot,0.0,0.0,6.0,2.0,0.0,6.98,6.98,Ataque,,,,,,,,,,,,,,
274,Paris Saint-Germain,Idrissa Gueye,0.0,0.0,3.0,3.0,0.0,6.97,6.97,Ataque,,,,,,,,,,,,,,
275,Barcelona,Nélson Semedo,0.0,1.0,18.0,4.0,0.0,6.97,6.97,Ataque,,,,,,,,,,,,,,
276,Atalanta,José Luis Palomino,0.0,0.0,2.0,1.0,0.0,6.97,6.97,Ataque,,,,,,,,,,,,,,
277,Manchester City,Nicolás Otamendi,0.0,0.0,0.0,5.0,0.0,6.97,6.97,Ataque,,,,,,,,,,,,,,
278,Borussia Dortmund,Mario Götze,0.0,0.0,0.0,2.0,0.0,6.97,6.97,Ataque,,,,,,,,,,,,,,
279,Olympiacos FC,Giorgos Masouras,0.0,1.0,4.0,10.0,0.0,6.97,6.97,Ataque,,,,,,,,,,,,,,
280,Atlético Madrid,Koke,0.0,0.0,7.0,1.0,0.0,6.97,6.97,Ataque,,,,,,,,,,,,,,
281,RB Leipzig,Ethan Ampadu,0.0,0.0,0.0,0.0,0.0,6.97,6.97,Ataque,,,,,,,,,,,,,,
282,Borussia Dortmund,Thomas Delaney,0.0,0.0,2.0,0.0,0.0,6.97,6.97,Ataque,,,,,,,,,,,,,,
283,Inter,Milan Škriniar,0.0,0.0,2.0,1.0,0.0,6.97,6.97,Ataque,,,,,,,,,,,,,,
284,Bayer 04 Leverkusen,Jonathan Tah,0.0,0.0,0.0,1.0,0.0,6.96,6.96,Ataque,,,,,,,,,,,,,,
285,Benfica,Gabriel Pires,0.0,2.0,7.0,8.0,0.0,6.96,6.96,Ataque,,,,,,,,,,,,,,
286,Olympique Lyonnais,Youssouf Koné,0.0,0.0,14.0,6.0,0.0,6.96,6.96,Ataque,,,,,,,,,,,,,,
287,Chelsea,Kurt Zouma,0.0,0.0,5.0,3.0,0.0,6.96,6.96,Ataque,,,,,,,,,,,,,,
288,RB Leipzig,Nordi Mukiele,0.0,0.0,9.0,10.0,0.0,6.96,6.96,Ataque,,,,,,,,,,,,,,
289,FC Bayern München,Álvaro Odriozola,0.0,0.0,2.0,0.0,0.0,6.95,6.95,Ataque,,,,,,,,,,,,,,
290,Manchester City,Benjamin Mendy,0.0,0.0,3.0,3.0,0.0,6.95,6.95,Ataque,,,,,,,,,,,,,,
291,Chelsea,N'Golo Kanté,0.0,0.0,9.0,4.0,0.0,6.95,6.95,Ataque,,,,,,,,,,,,,,
292,Benfica,Odysseas Vlachodimos,0.0,0.0,0.0,0.0,0.0,6.95,6.95,Ataque,,,,,,,,,,,,,,
293,Napoli,Konstantinos Manolas,0.0,0.0,0.0,4.0,0.0,6.95,6.95,Ataque,,,,,,,,,,,,,,
294,FK Crvena zvezda,Milan Borjan,0.0,0.0,0.0,0.0,0.0,6.95,6.95,Ataque,,,,,,,,,,,,,,
295,Atlético Madrid,Jan Oblak,0.0,0.0,0.0,0.0,0.0,6.94,6.94,Ataque,,,,,,,,,,,,,,
296,Olympique Lyonnais,Marcelo,0.0,0.0,1.0,6.0,0.0,6.94,6.94,Ataque,,,,,,,,,,,,,,
297,FC Bayern München,Javi Martínez,0.0,0.0,0.0,4.0,0.0,6.94,6.94,Ataque,,,,,,,,,,,,,,
298,AFC Ajax,Sergiño Dest,0.0,0.0,4.0,3.0,0.0,6.94,6.94,Ataque,,,,,,,,,,,,,,
299,AFC Ajax,Noa Lang,0.0,0.0,2.0,2.0,0.0,6.93,6.93,Ataque,,,,,,,,,,,,,,
300,Tottenham Hotspur,Juan Foyth,0.0,0.0,5.0,0.0,0.0,6.93,6.93,Ataque,,,,,,,,,,,,,,
301,Real Madrid,Thibaut Courtois,0.0,0.0,0.0,0.0,0.0,6.93,6.93,Ataque,,,,,,,,,,,,,,
302,RB Leipzig,Marcel Halstenberg,0.0,1.0,1.0,4.0,0.0,6.93,6.93,Ataque,,,,,,,,,,,,,,
303,Barcelona,Frenkie de Jong,0.0,0.0,20.0,1.0,0.0,6.92,6.92,Ataque,,,,,,,,,,,,,,
304,Paris Saint-Germain,Ander Herrera,0.0,0.0,6.0,2.0,0.0,6.92,6.92,Ataque,,,,,,,,,,,,,,
305,Lille,Boubakary Soumaré,0.0,0.0,18.0,2.0,0.0,6.92,6.92,Ataque,,,,,,,,,,,,,,
306,Liverpool,James Milner,0.0,0.0,6.0,4.0,0.0,6.91,6.91,Ataque,,,,,,,,,,,,,,
307,Manchester City,Fernandinho,0.0,0.0,1.0,2.0,0.0,6.91,6.91,Ataque,,,,,,,,,,,,,,
308,Lille,Jonathan Bamba,0.0,1.0,7.0,8.0,0.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
309,Manchester City,John Stones,0.0,0.0,0.0,1.0,0.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
310,Napoli,Stanislav Lobotka,0.0,0.0,0.0,0.0,0.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
311,Paris Saint-Germain,Colin Dagba,0.0,1.0,0.0,1.0,0.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
312,Benfica,Andreas Samaris,0.0,0.0,0.0,1.0,0.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
313,Juventus,Mattia De Sciglio,0.0,0.0,4.0,0.0,0.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
314,Club Brugge KV,Brandon Mechele,0.0,0.0,4.0,2.0,0.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
315,Juventus,Wojciech Szczęsny,0.0,0.0,0.0,0.0,0.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
316,Borussia Dortmund,Axel Witsel,0.0,0.0,10.0,5.0,0.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
317,Real Madrid,Daniel Carvajal,0.0,0.0,6.0,4.0,0.0,6.89,6.89,Ataque,,,,,,,,,,,,,,
318,Juventus,Rodrigo Bentancur,0.0,0.0,9.0,1.0,0.0,6.89,6.89,Ataque,,,,,,,,,,,,,,
319,FK Crvena zvezda,Marko Marin,0.0,0.0,11.0,9.0,0.0,6.88,6.88,Ataque,,,,,,,,,,,,,,
320,Lille,Yusuf Yazıcı,0.0,2.0,7.0,17.0,0.0,6.88,6.88,Ataque,,,,,,,,,,,,,,
321,Zenit St. Petersburg,Wílmar Barrios,0.0,0.0,6.0,2.0,0.0,6.88,6.88,Ataque,,,,,,,,,,,,,,
322,Inter,Samir Handanović,0.0,0.0,2.0,0.0,0.0,6.88,6.88,Ataque,,,,,,,,,,,,,,
323,Bayer 04 Leverkusen,Kerem Demirbay,0.0,0.0,8.0,11.0,0.0,6.88,6.88,Ataque,,,,,,,,,,,,,,
324,Zenit St. Petersburg,Yordan Osorio,0.0,1.0,3.0,3.0,0.0,6.88,6.88,Ataque,,,,,,,,,,,,,,
325,Benfica,Ferro,0.0,0.0,2.0,1.0,0.0,6.88,6.88,Ataque,,,,,,,,,,,,,,
326,Manchester City,João Cancelo,0.0,0.0,14.0,4.0,0.0,6.88,6.88,Ataque,,,,,,,,,,,,,,
327,RB Leipzig,Christopher Nkunku,0.0,1.0,6.0,9.0,0.0,6.88,6.88,Ataque,,,,,,,,,,,,,,
328,Olympique Lyonnais,Thiago Mendes,0.0,0.0,7.0,5.0,0.0,6.87,6.87,Ataque,,,,,,,,,,,,,,
329,Paris Saint-Germain,Sergio Rico,0.0,0.0,0.0,0.0,0.0,6.87,6.87,Ataque,,,,,,,,,,,,,,
330,AFC Ajax,Lisandro Martínez,0.0,0.0,9.0,7.0,0.0,6.87,6.87,Ataque,,,,,,,,,,,,,,
331,Galatasaray,Jean Michaël Seri,0.0,0.0,6.0,2.0,0.0,6.87,6.87,Ataque,,,,,,,,,,,,,,
332,Valencia,Jasper Cillessen,0.0,0.0,0.0,0.0,0.0,6.87,6.87,Ataque,,,,,,,,,,,,,,
333,Zenit St. Petersburg,Branislav Ivanović,0.0,0.0,1.0,3.0,0.0,6.87,6.87,Ataque,,,,,,,,,,,,,,
334,Club Brugge KV,Simon Deli,0.0,0.0,2.0,5.0,0.0,6.87,6.87,Ataque,,,,,,,,,,,,,,
335,Napoli,Fabián Ruiz,0.0,0.0,10.0,10.0,0.0,6.86,6.86,Ataque,,,,,,,,,,,,,,
336,Red Bull Salzburg,Enock Mwepu,0.0,0.0,6.0,5.0,0.0,6.86,6.86,Ataque,,,,,,,,,,,,,,
337,Liverpool,Joe Gomez,0.0,0.0,4.0,0.0,0.0,6.86,6.86,Ataque,,,,,,,,,,,,,,
338,Zenit St. Petersburg,Yury Zhirkov,0.0,0.0,0.0,2.0,0.0,6.85,6.85,Ataque,,,,,,,,,,,,,,
339,Lokomotiv Moscow,João Mário,0.0,1.0,7.0,7.0,0.0,6.85,6.85,Ataque,,,,,,,,,,,,,,
340,Manchester City,Eric García,0.0,0.0,0.0,0.0,0.0,6.85,6.85,Ataque,,,,,,,,,,,,,,
341,Borussia Dortmund,Manuel Akanji,0.0,0.0,1.0,3.0,0.0,6.85,6.85,Ataque,,,,,,,,,,,,,,
342,Lokomotiv Moscow,Vedran Ćorluka,0.0,0.0,0.0,1.0,0.0,6.85,6.85,Ataque,,,,,,,,,,,,,,
343,Olympique Lyonnais,Jason Denayer,0.0,0.0,3.0,2.0,0.0,6.84,6.84,Ataque,,,,,,,,,,,,,,
344,GNK Dinamo Zagreb,Dino Perić,0.0,0.0,3.0,0.0,0.0,6.84,6.84,Ataque,,,,,,,,,,,,,,
345,Tottenham Hotspur,Ben Davies,0.0,0.0,0.0,0.0,0.0,6.83,6.83,Ataque,,,,,,,,,,,,,,
346,Club Brugge KV,Federico Ricca,0.0,0.0,1.0,1.0,0.0,6.83,6.83,Ataque,,,,,,,,,,,,,,
347,GNK Dinamo Zagreb,Emir Dilaver,0.0,0.0,0.0,2.0,0.0,6.83,6.83,Ataque,,,,,,,,,,,,,,
348,Barcelona,Ivan Rakitić,0.0,0.0,3.0,9.0,0.0,6.83,6.83,Ataque,,,,,,,,,,,,,,
349,Napoli,Mário Rui,0.0,0.0,3.0,2.0,0.0,6.83,6.83,Ataque,,,,,,,,,,,,,,
350,GNK Dinamo Zagreb,Kévin Théophile-Catherine,0.0,0.0,5.0,0.0,0.0,6.82,6.82,Ataque,,,,,,,,,,,,,,
351,Chelsea,Callum Hudson-Odoi,0.0,0.0,10.0,8.0,0.0,6.82,6.82,Ataque,,,,,,,,,,,,,,
352,Chelsea,Marcos Alonso,0.0,0.0,3.0,12.0,0.0,6.82,6.82,Ataque,,,,,,,,,,,,,,
353,KRC Genk,Patrik Hrošovský,0.0,0.0,5.0,4.0,0.0,6.82,6.82,Ataque,,,,,,,,,,,,,,
354,Manchester City,Kyle Walker,0.0,0.0,8.0,4.0,0.0,6.82,6.82,Ataque,,,,,,,,,,,,,,
355,Napoli,Giovanni Di Lorenzo,0.0,0.0,5.0,4.0,0.0,6.81,6.81,Ataque,,,,,,,,,,,,,,
356,Inter,Valentino Lazaro,0.0,0.0,5.0,0.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
357,Manchester City,Taylor Harwood-Bellis,0.0,0.0,0.0,0.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
358,RB Leipzig,Yvon Mvogo,0.0,0.0,0.0,0.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
359,Manchester City,Oleksandr Zinchenko,0.0,0.0,0.0,0.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
360,Red Bull Salzburg,André Ramalho,0.0,0.0,0.0,2.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
361,AFC Ajax,Noussair Mazraoui,0.0,0.0,4.0,2.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
362,SK Slavia Praha,David Hovorka,0.0,0.0,2.0,1.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
363,Manchester City,David Silva,0.0,1.0,5.0,4.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
364,Bayer 04 Leverkusen,Lukáš Hrádecký,0.0,0.0,0.0,0.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
365,Shakhtar Donetsk,Mykola Matviyenko,0.0,1.0,1.0,2.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
366,Borussia Dortmund,Raphaël Guerreiro,0.0,0.0,8.0,4.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
367,Shakhtar Donetsk,Taras Stepanenko,0.0,0.0,1.0,4.0,0.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
368,Bayer 04 Leverkusen,Charles Aránguiz,0.0,1.0,3.0,5.0,0.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
369,Bayer 04 Leverkusen,Karim Bellarabi,0.0,0.0,16.0,11.0,0.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
370,Galatasaray,Ömer Bayram,0.0,0.0,10.0,4.0,0.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
371,RB Leipzig,Lukas Klostermann,0.0,1.0,4.0,5.0,0.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
372,AFC Ajax,Joël Veltman,0.0,0.0,0.0,1.0,0.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
373,SK Slavia Praha,Petr Ševčík,0.0,0.0,4.0,6.0,0.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
374,SK Slavia Praha,Josef Hušbauer,0.0,0.0,1.0,9.0,0.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
375,FC Bayern München,Jérôme Boateng,0.0,0.0,0.0,0.0,0.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
376,Barcelona,Ousmane Dembélé,0.0,0.0,6.0,4.0,0.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
377,Borussia Dortmund,Julian Weigl,0.0,0.0,2.0,1.0,0.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
378,RB Leipzig,Kevin Kampl,0.0,0.0,3.0,1.0,0.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
379,KRC Genk,Ianis Hagi,0.0,0.0,3.0,5.0,0.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
380,Borussia Dortmund,Dan-Axel Zagadou,0.0,0.0,0.0,2.0,0.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
381,Olympique Lyonnais,Kenny Tete,0.0,0.0,3.0,1.0,0.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
382,Olympique Lyonnais,Jeff Reine-Adélaïde,0.0,0.0,20.0,5.0,0.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
383,Manchester City,Bernardo Silva,0.0,0.0,5.0,5.0,0.0,6.77,6.77,Ataque,,,,,,,,,,,,,,
384,Barcelona,Sergio Busquets,0.0,0.0,1.0,1.0,0.0,6.77,6.77,Ataque,,,,,,,,,,,,,,
385,SK Slavia Praha,Lukáš Masopust,0.0,2.0,7.0,10.0,0.0,6.77,6.77,Ataque,,,,,,,,,,,,,,
386,Atalanta,Marten de Roon,0.0,0.0,5.0,6.0,0.0,6.77,6.77,Ataque,,,,,,,,,,,,,,
387,Manchester City,Aymeric Laporte,0.0,0.0,1.0,0.0,0.0,6.77,6.77,Ataque,,,,,,,,,,,,,,
388,Valencia,Gonçalo Guedes,0.0,1.0,7.0,4.0,0.0,6.77,6.77,Ataque,,,,,,,,,,,,,,
389,Olympique Lyonnais,Maxence Caqueret,0.0,0.0,6.0,1.0,0.0,6.77,6.77,Ataque,,,,,,,,,,,,,,
390,Bayer 04 Leverkusen,Mitchell Weiser,0.0,0.0,3.0,3.0,0.0,6.77,6.77,Ataque,,,,,,,,,,,,,,
391,Benfica,Chiquinho,0.0,0.0,1.0,8.0,0.0,6.77,6.77,Ataque,,,,,,,,,,,,,,
392,Bayer 04 Leverkusen,Lars Bender,0.0,0.0,1.0,0.0,0.0,6.77,6.77,Ataque,,,,,,,,,,,,,,
393,Manchester City,Ederson,0.0,0.0,0.0,0.0,0.0,6.76,6.76,Ataque,,,,,,,,,,,,,,
394,Chelsea,Mason Mount,0.0,1.0,4.0,12.0,0.0,6.76,6.76,Ataque,,,,,,,,,,,,,,
395,Lokomotiv Moscow,Maciej Rybus,0.0,0.0,1.0,2.0,0.0,6.76,6.76,Ataque,,,,,,,,,,,,,,
396,Atlético Madrid,Thomas Lemar,0.0,0.0,6.0,6.0,0.0,6.76,6.76,Ataque,,,,,,,,,,,,,,
397,Borussia Dortmund,Giovanni Reyna,0.0,0.0,2.0,1.0,0.0,6.75,6.75,Ataque,,,,,,,,,,,,,,
398,Club Brugge KV,Odilon Kossounou,0.0,0.0,3.0,0.0,0.0,6.75,6.75,Ataque,,,,,,,,,,,,,,
399,Valencia,Manu Vallejo,0.0,0.0,2.0,2.0,0.0,6.75,6.75,Ataque,,,,,,,,,,,,,,
400,Olympique Lyonnais,Bruno Guimarães,0.0,0.0,2.0,2.0,0.0,6.75,6.75,Ataque,,,,,,,,,,,,,,
401,RB Leipzig,Willi Orbán,0.0,0.0,0.0,1.0,0.0,6.75,6.75,Ataque,,,,,,,,,,,,,,
402,Paris Saint-Germain,Layvin Kurzawa,0.0,0.0,7.0,1.0,0.0,6.75,6.75,Ataque,,,,,,,,,,,,,,
403,Atlético Madrid,Vitolo,0.0,0.0,7.0,4.0,0.0,6.75,6.75,Ataque,,,,,,,,,,,,,,
404,Benfica,Rúben Dias,0.0,0.0,2.0,1.0,0.0,6.75,6.75,Ataque,,,,,,,,,,,,,,
405,Napoli,Allan,0.0,0.0,7.0,2.0,0.0,6.75,6.75,Ataque,,,,,,,,,,,,,,
406,Club Brugge KV,Percy Tau,0.0,1.0,1.0,2.0,0.0,6.73,6.73,Ataque,,,,,,,,,,,,,,
407,Real Madrid,Gareth Bale,0.0,0.0,2.0,6.0,0.0,6.73,6.73,Ataque,,,,,,,,,,,,,,
408,Chelsea,Kepa Arrizabalaga,0.0,0.0,0.0,0.0,0.0,6.73,6.73,Ataque,,,,,,,,,,,,,,
409,Lille,Gabriel Magalhães,0.0,0.0,1.0,3.0,0.0,6.73,6.73,Ataque,,,,,,,,,,,,,,
410,GNK Dinamo Zagreb,Dominik Livaković,0.0,0.0,0.0,0.0,0.0,6.73,6.73,Ataque,,,,,,,,,,,,,,
411,SK Slavia Praha,Vladimír Coufal,0.0,0.0,3.0,2.0,0.0,6.73,6.73,Ataque,,,,,,,,,,,,,,
412,KRC Genk,Sander Berge,0.0,0.0,8.0,5.0,0.0,6.73,6.73,Ataque,,,,,,,,,,,,,,
413,Inter,Cristiano Biraghi,0.0,0.0,0.0,1.0,0.0,6.73,6.73,Ataque,,,,,,,,,,,,,,
414,Galatasaray,Christian Luyindama,0.0,0.0,0.0,1.0,0.0,6.73,6.73,Ataque,,,,,,,,,,,,,,
