#,Clube,Nome,Gols,Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore,Categoria,Desarmes,Interceptações,Cortes,Erros que levaram ao gol,Grandes chances criadas,Assistências,Passes certos,Passes certos %,Passes decisivos,Defesas,Jogos sem ser vazado,Pênalti defendido,Defesas de dentro da área,Saídas do gol
209,APOEL Nicosia,Giorgos Merkis,0.0,0.0,0.0,1.0,0.0,7.25,7.25,Ataque,,,,,,,,,,,,,,
210,Manchester City,Brahim Díaz,0.0,0.0,11.0,1.0,0.0,7.25,7.25,Ataque,,,,,,,,,,,,,,
211,Manchester United,Antonio Valencia,0.0,0.0,6.0,2.0,0.0,7.25,7.25,Ataque,,,,,,,,,,,,,,
212,Manchester United,Nemanja Matić,0.0,0.0,8.0,3.0,0.0,7.21,7.21,Ataque,,,,,,,,,,,,,,
213,Borussia Dortmund,Shinji Kagawa,0.0,0.0,5.0,11.0,0.0,7.2,7.2,Ataque,,,,,,,,,,,,,,
214,FC Porto,Diogo Dalot,0.0,0.0,4.0,0.0,0.0,7.2,7.2,Ataque,,,,,,,,,,,,,,
215,Manchester United,Marcos Rojo,0.0,0.0,0.0,1.0,0.0,7.2,7.2,Ataque,,,,,,,,,,,,,,
216,Benfica,João Carvalho,0.0,0.0,2.0,2.0,0.0,7.2,7.2,Ataque,,,,,,,,,,,,,,
217,Manchester United,Alexis Sánchez,0.0,0.0,6.0,1.0,0.0,7.2,7.2,Ataque,,,,,,,,,,,,,,
218,RB Leipzig,Stefan Ilsanker,0.0,0.0,2.0,4.0,0.0,7.2,7.2,Ataque,,,,,,,,,,,,,,
219,Beşiktaş,Pepe,0.0,0.0,4.0,3.0,0.0,7.2,7.2,Ataque,,,,,,,,,,,,,,
220,Barcelona,Samuel Umtiti,0.0,0.0,1.0,1.0,0.0,7.19,7.19,Ataque,,,,,,,,,,,,,,
221,Juventus,Giorgio Chiellini,0.0,1.0,2.0,3.0,0.0,7.19,7.19,Ataque,,,,,,,,,,,,,,
222,Tottenham Hotspur,Danny Rose,0.0,0.0,4.0,0.0,0.0,7.17,7.17,Ataque,,,,,,,,,,,,,,
223,Atlético Madrid,Juanfran,0.0,0.0,4.0,0.0,0.0,7.17,7.17,Ataque,,,,,,,,,,,,,,
224,Manchester United,Ander Herrera,0.0,0.0,5.0,2.0,0.0,7.17,7.17,Ataque,,,,,,,,,,,,,,
225,Barcelona,Sergio Busquets,0.0,0.0,5.0,2.0,0.0,7.16,7.16,Ataque,,,,,,,,,,,,,,
226,Roma,Federico Fazio,0.0,0.0,8.0,5.0,0.0,7.15,7.15,Ataque,,,,,,,,,,,,,,
227,Sporting,André Pinto,0.0,1.0,0.0,3.0,0.0,7.15,7.15,Ataque,,,,,,,,,,,,,,
228,Borussia Dortmund,Marc Bartra,0.0,1.0,3.0,2.0,0.0,7.15,7.15,Ataque,,,,,,,,,,,,,,
229,Roma,Juan Jesus,0.0,0.0,0.0,0.0,0.0,7.15,7.15,Ataque,,,,,,,,,,,,,,
230,Liverpool,James Milner,0.0,2.0,9.0,8.0,0.0,7.15,7.15,Ataque,,,,,,,,,,,,,,
231,Real Madrid,Raphaël Varane,0.0,1.0,4.0,7.0,0.0,7.15,7.15,Ataque,,,,,,,,,,,,,,
232,Olympiacos FC,Silvio Proto,0.0,0.0,0.0,0.0,0.0,7.14,7.14,Ataque,,,,,,,,,,,,,,
233,Olympiacos FC,Panagiotis Tachtsidis,0.0,0.0,3.0,3.0,0.0,7.13,7.13,Ataque,,,,,,,,,,,,,,
234,Chelsea,N'Golo Kanté,0.0,0.0,9.0,3.0,0.0,7.12,7.12,Ataque,,,,,,,,,,,,,,
235,RSC Anderlecht,Adrien Trebel,0.0,0.0,7.0,8.0,0.0,7.12,7.12,Ataque,,,,,,,,,,,,,,
236,Tottenham Hotspur,Hugo Lloris,0.0,0.0,0.0,0.0,0.0,7.11,7.11,Ataque,,,,,,,,,,,,,,
237,Paris Saint-Germain,Alphonse Aréola,0.0,0.0,0.0,0.0,0.0,7.11,7.11,Ataque,,,,,,,,,,,,,,
238,Sevilla,Sergio Escudero,0.0,0.0,6.0,11.0,0.0,7.11,7.11,Ataque,,,,,,,,,,,,,,
239,Tottenham Hotspur,Toby Alderweireld,0.0,0.0,0.0,2.0,0.0,7.1,7.1,Ataque,,,,,,,,,,,,,,
240,FC Spartak Moscow,Dmitry Kombarov,0.0,0.0,3.0,3.0,0.0,7.1,7.1,Ataque,,,,,,,,,,,,,,
241,AS Monaco,Stevan Jovetić,0.0,0.0,1.0,2.0,0.0,7.1,7.1,Ataque,,,,,,,,,,,,,,
242,FC Bayern München,Marco Friedl,0.0,0.0,1.0,0.0,0.0,7.1,7.1,Ataque,,,,,,,,,,,,,,
243,Shakhtar Donetsk,Darijo Srna,0.0,0.0,0.0,1.0,0.0,7.1,7.1,Ataque,,,,,,,,,,,,,,
244,Paris Saint-Germain,Yuri Berchiche,0.0,0.0,1.0,1.0,0.0,7.1,7.1,Ataque,,,,,,,,,,,,,,
245,Qarabağ,Afran Ismayilov,0.0,0.0,0.0,0.0,0.0,7.1,7.1,Ataque,,,,,,,,,,,,,,
246,Paris Saint-Germain,Thiago Silva,0.0,0.0,0.0,2.0,0.0,7.1,7.1,Ataque,,,,,,,,,,,,,,
247,Manchester City,David Silva,0.0,0.0,8.0,1.0,0.0,7.09,7.09,Ataque,,,,,,,,,,,,,,
248,RB Leipzig,Kevin Kampl,0.0,1.0,7.0,1.0,0.0,7.08,7.08,Ataque,,,,,,,,,,,,,,
249,Atlético Madrid,Diego Godín,0.0,1.0,1.0,4.0,0.0,7.08,7.08,Ataque,,,,,,,,,,,,,,
250,Manchester United,Chris Smalling,0.0,2.0,1.0,7.0,0.0,7.08,7.08,Ataque,,,,,,,,,,,,,,
251,Manchester United,Matteo Darmian,0.0,1.0,1.0,1.0,0.0,7.07,7.07,Ataque,,,,,,,,,,,,,,
252,Sporting,Sebastián Coates,0.0,1.0,6.0,2.0,0.0,7.06,7.06,Ataque,,,,,,,,,,,,,,
253,FC Porto,Sérgio Oliveira,0.0,0.0,1.0,8.0,0.0,7.06,7.06,Ataque,,,,,,,,,,,,,,
254,Napoli,Raúl Albiol,0.0,0.0,0.0,2.0,0.0,7.06,7.06,Ataque,,,,,,,,,,,,,,
255,FC Bayern München,Arjen Robben,0.0,2.0,19.0,20.0,0.0,7.06,7.06,Ataque,,,,,,,,,,,,,,
256,Manchester City,Vincent Kompany,0.0,0.0,2.0,1.0,0.0,7.05,7.05,Ataque,,,,,,,,,,,,,,
257,Manchester City,Eliaquim Mangala,0.0,0.0,0.0,1.0,0.0,7.05,7.05,Ataque,,,,,,,,,,,,,,
258,Benfica,Lisandro López,0.0,0.0,0.0,4.0,0.0,7.05,7.05,Ataque,,,,,,,,,,,,,,
259,RB Leipzig,Dayot Upamecano,0.0,0.0,0.0,2.0,0.0,7.04,7.04,Ataque,,,,,,,,,,,,,,
260,Tottenham Hotspur,Harry Winks,0.0,0.0,5.0,1.0,0.0,7.04,7.04,Ataque,,,,,,,,,,,,,,
261,Basel,Manuel Akanji,0.0,0.0,1.0,1.0,0.0,7.03,7.03,Ataque,,,,,,,,,,,,,,
262,FC Porto,Iker Casillas,0.0,0.0,0.0,0.0,0.0,7.03,7.03,Ataque,,,,,,,,,,,,,,
263,Roma,Alisson,0.0,0.0,1.0,0.0,0.0,7.03,7.03,Ataque,,,,,,,,,,,,,,
264,CSKA Moscow,Bibars Natcho,0.0,0.0,2.0,5.0,0.0,7.03,7.03,Ataque,,,,,,,,,,,,,,
265,Atlético Madrid,Nicolás Gaitán,0.0,0.0,3.0,4.0,0.0,7.03,7.03,Ataque,,,,,,,,,,,,,,
266,Manchester United,Paul Pogba,0.0,0.0,7.0,5.0,0.0,7.02,7.02,Ataque,,,,,,,,,,,,,,
267,Benfica,Andrija Živković,0.0,0.0,8.0,7.0,0.0,7.02,7.02,Ataque,,,,,,,,,,,,,,
268,Tottenham Hotspur,Jan Vertonghen,0.0,0.0,1.0,2.0,0.0,7.02,7.02,Ataque,,,,,,,,,,,,,,
269,Manchester City,Danilo,0.0,0.0,7.0,3.0,0.0,7.02,7.02,Ataque,,,,,,,,,,,,,,
270,Paris Saint-Germain,Marquinhos,0.0,0.0,0.0,2.0,0.0,7.01,7.01,Ataque,,,,,,,,,,,,,,
271,FC Bayern München,Rafinha,0.0,0.0,1.0,3.0,0.0,7.01,7.01,Ataque,,,,,,,,,,,,,,
272,Real Madrid,Isco,0.0,4.0,19.0,22.0,0.0,7.01,7.01,Ataque,,,,,,,,,,,,,,
273,Beşiktaş,Ricardo Quaresma,0.0,0.0,10.0,15.0,0.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
274,Basel,Raoul Petretta,0.0,0.0,3.0,2.0,0.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
275,FC Bayern München,Manuel Neuer,0.0,0.0,0.0,0.0,0.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
276,Manchester United,Axel Tuanzebe,0.0,0.0,2.0,0.0,0.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
277,Napoli,Vlad Chiricheş,0.0,0.0,0.0,0.0,0.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
278,Feyenoord,Kenneth Vermeer,0.0,0.0,0.0,0.0,0.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
279,Basel,Léo Lacroix,0.0,0.0,0.0,0.0,0.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
280,FC Spartak Moscow,Artem Rebrov,0.0,0.0,0.0,0.0,0.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
281,RB Leipzig,Diego Demme,0.0,0.0,1.0,1.0,0.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
282,Qarabağ,Ansi Agolli,0.0,0.0,2.0,2.0,0.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
283,Liverpool,Joe Gomez,0.0,0.0,4.0,0.0,0.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
284,Atlético Madrid,Gabi,0.0,0.0,0.0,3.0,0.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
285,Basel,Éder Balanta,0.0,0.0,12.0,1.0,0.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
286,Beşiktaş,Duško Tošić,0.0,1.0,2.0,2.0,0.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
287,Sevilla,Steven​ N'Zonzi,0.0,0.0,5.0,7.0,0.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
288,Juventus,Alex Sandro,0.0,0.0,13.0,5.0,0.0,6.99,6.99,Ataque,,,,,,,,,,,,,,
289,Barcelona,Jordi Alba,0.0,0.0,2.0,1.0,0.0,6.99,6.99,Ataque,,,,,,,,,,,,,,
290,Liverpool,Dejan Lovren,0.0,1.0,2.0,6.0,0.0,6.98,6.98,Ataque,,,,,,,,,,,,,,
291,Roma,Bruno Peres,0.0,0.0,11.0,3.0,0.0,6.98,6.98,Ataque,,,,,,,,,,,,,,
292,Napoli,Kalidou Koulibaly,0.0,0.0,1.0,1.0,0.0,6.98,6.98,Ataque,,,,,,,,,,,,,,
293,Liverpool,Jordan Henderson,0.0,0.0,1.0,2.0,0.0,6.98,6.98,Ataque,,,,,,,,,,,,,,
294,Borussia Dortmund,Marcel Schmelzer,0.0,0.0,1.0,2.0,0.0,6.98,6.98,Ataque,,,,,,,,,,,,,,
295,Atlético Madrid,José María Giménez,0.0,0.0,0.0,4.0,0.0,6.98,6.98,Ataque,,,,,,,,,,,,,,
296,FC Bayern München,David Alaba,0.0,0.0,0.0,9.0,0.0,6.97,6.97,Ataque,,,,,,,,,,,,,,
297,Tottenham Hotspur,Eric Dier,0.0,0.0,3.0,3.0,0.0,6.97,6.97,Ataque,,,,,,,,,,,,,,
298,Manchester City,Aymeric Laporte,0.0,0.0,1.0,2.0,0.0,6.97,6.97,Ataque,,,,,,,,,,,,,,
299,Olympiacos FC,Saša Zdjelar,0.0,0.0,1.0,0.0,0.0,6.97,6.97,Ataque,,,,,,,,,,,,,,
300,CSKA Moscow,Aleksei Berezutskiy,0.0,0.0,1.0,2.0,0.0,6.97,6.97,Ataque,,,,,,,,,,,,,,
301,Celtic,Mikael Lustig,0.0,0.0,0.0,2.0,0.0,6.97,6.97,Ataque,,,,,,,,,,,,,,
302,RB Leipzig,Bruma,0.0,1.0,22.0,11.0,0.0,6.96,6.96,Ataque,,,,,,,,,,,,,,
303,FC Bayern München,Sebastian Rudy,0.0,0.0,1.0,5.0,0.0,6.96,6.96,Ataque,,,,,,,,,,,,,,
304,Shakhtar Donetsk,Yaroslav Rakitskyi,0.0,0.0,0.0,1.0,0.0,6.96,6.96,Ataque,,,,,,,,,,,,,,
305,FC Bayern München,Sven Ulreich,0.0,0.0,0.0,0.0,0.0,6.95,6.95,Ataque,,,,,,,,,,,,,,
306,FC Bayern München,Jérôme Boateng,0.0,0.0,2.0,2.0,0.0,6.94,6.94,Ataque,,,,,,,,,,,,,,
307,AS Monaco,Fabinho,0.0,0.0,5.0,1.0,0.0,6.94,6.94,Ataque,,,,,,,,,,,,,,
308,Qarabağ,Jakub Rzeźniczak,0.0,0.0,1.0,0.0,0.0,6.94,6.94,Ataque,,,,,,,,,,,,,,
309,Juventus,Andrea Barzagli,0.0,0.0,0.0,0.0,0.0,6.94,6.94,Ataque,,,,,,,,,,,,,,
310,Shakhtar Donetsk,Andriy Pyatov,0.0,0.0,0.0,0.0,0.0,6.94,6.94,Ataque,,,,,,,,,,,,,,
311,Celtic,Kieran Tierney,0.0,0.0,6.0,3.0,0.0,6.93,6.93,Ataque,,,,,,,,,,,,,,
312,Shakhtar Donetsk,Alan Patrick,0.0,0.0,2.0,2.0,0.0,6.93,6.93,Ataque,,,,,,,,,,,,,,
313,Benfica,Filipe Augusto,0.0,0.0,4.0,3.0,0.0,6.93,6.93,Ataque,,,,,,,,,,,,,,
314,Sevilla,Sébastien Corchia,0.0,0.0,1.0,3.0,0.0,6.93,6.93,Ataque,,,,,,,,,,,,,,
315,Olympiacos FC,Alberto Botía,0.0,0.0,0.0,0.0,0.0,6.93,6.93,Ataque,,,,,,,,,,,,,,
316,Feyenoord,Ridgeciano Haps,0.0,0.0,10.0,0.0,0.0,6.93,6.93,Ataque,,,,,,,,,,,,,,
317,Feyenoord,Bart Nieuwkoop,0.0,0.0,0.0,0.0,0.0,6.93,6.93,Ataque,,,,,,,,,,,,,,
318,FC Bayern München,Arturo Vidal,0.0,1.0,1.0,11.0,0.0,6.93,6.93,Ataque,,,,,,,,,,,,,,
319,Barcelona,Marc-André ter Stegen,0.0,0.0,0.0,0.0,0.0,6.92,6.92,Ataque,,,,,,,,,,,,,,
320,Borussia Dortmund,Julian Weigl,0.0,0.0,4.0,2.0,0.0,6.92,6.92,Ataque,,,,,,,,,,,,,,
321,AS Monaco,João Moutinho,0.0,0.0,3.0,3.0,0.0,6.92,6.92,Ataque,,,,,,,,,,,,,,
322,Basel,Renato Steffen,0.0,2.0,6.0,11.0,0.0,6.92,6.92,Ataque,,,,,,,,,,,,,,
323,Juventus,Mattia De Sciglio,0.0,0.0,2.0,3.0,0.0,6.92,6.92,Ataque,,,,,,,,,,,,,,
324,Manchester United,Juan Mata,0.0,0.0,5.0,3.0,0.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
325,Tottenham Hotspur,Moussa Sissoko,0.0,0.0,5.0,4.0,0.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
326,Sevilla,Franco Vázquez,0.0,0.0,14.0,14.0,0.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
327,Atlético Madrid,Šime Vrsaljko,0.0,0.0,0.0,0.0,0.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
328,Tottenham Hotspur,Michel Vorm,0.0,0.0,0.0,0.0,0.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
329,Barcelona,Javier Mascherano,0.0,0.0,0.0,0.0,0.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
330,Beşiktaş,Matej Mitrović,0.0,0.0,0.0,0.0,0.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
331,Manchester City,Yaya Touré,0.0,0.0,4.0,3.0,0.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
332,Borussia Dortmund,Nuri Şahin,0.0,0.0,2.0,3.0,0.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
333,Olympiacos FC,Sebá,0.0,0.0,4.0,2.0,0.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
334,Qarabağ,Elvin Yunuszade,0.0,0.0,1.0,0.0,0.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
335,FC Spartak Moscow,Serdar Taşçı,0.0,0.0,2.0,0.0,0.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
336,Liverpool,Virgil van Dijk,0.0,1.0,2.0,2.0,0.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
337,Atlético Madrid,Jan Oblak,0.0,0.0,0.0,0.0,0.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
338,CSKA Moscow,Igor Akinfeev,0.0,0.0,0.0,0.0,0.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
339,Barcelona,Nélson Semedo,0.0,0.0,11.0,2.0,0.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
340,Sevilla,Jesús Navas,0.0,1.0,9.0,4.0,0.0,6.89,6.89,Ataque,,,,,,,,,,,,,,
341,Liverpool,Andrew Robertson,0.0,0.0,5.0,3.0,0.0,6.88,6.88,Ataque,,,,,,,,,,,,,,
342,Liverpool,Joël Matip,0.0,0.0,0.0,0.0,0.0,6.88,6.88,Ataque,,,,,,,,,,,,,,
343,Benfica,Pizzi,0.0,0.0,5.0,3.0,0.0,6.88,6.88,Ataque,,,,,,,,,,,,,,
344,Beşiktaş,Oğuzhan Özyakup,0.0,0.0,5.0,3.0,0.0,6.88,6.88,Ataque,,,,,,,,,,,,,,
345,Olympiacos FC,Björn Engels,0.0,0.0,0.0,2.0,0.0,6.88,6.88,Ataque,,,,,,,,,,,,,,
346,Olympiacos FC,Diogo Figueiras,0.0,0.0,2.0,5.0,0.0,6.88,6.88,Ataque,,,,,,,,,,,,,,
347,Shakhtar Donetsk,Taras Stepanenko,0.0,0.0,2.0,3.0,0.0,6.88,6.88,Ataque,,,,,,,,,,,,,,
348,Atlético Madrid,Koke,0.0,1.0,1.0,6.0,0.0,6.88,6.88,Ataque,,,,,,,,,,,,,,
349,Paris Saint-Germain,Thiago Motta,0.0,0.0,1.0,1.0,0.0,6.88,6.88,Ataque,,,,,,,,,,,,,,
350,CSKA Moscow,Sergey Ignashevich,0.0,0.0,0.0,0.0,0.0,6.88,6.88,Ataque,,,,,,,,,,,,,,
351,Real Madrid,Keylor Navas,0.0,0.0,1.0,0.0,0.0,6.87,6.87,Ataque,,,,,,,,,,,,,,
352,FC Porto,Ricardo Pereira,0.0,1.0,6.0,2.0,0.0,6.87,6.87,Ataque,,,,,,,,,,,,,,
353,CSKA Moscow,Mário Fernandes,0.0,0.0,5.0,2.0,0.0,6.87,6.87,Ataque,,,,,,,,,,,,,,
354,Manchester United,Eric Bailly,0.0,0.0,1.0,0.0,0.0,6.87,6.87,Ataque,,,,,,,,,,,,,,
355,Paris Saint-Germain,Javier Pastore,0.0,0.0,6.0,3.0,0.0,6.87,6.87,Ataque,,,,,,,,,,,,,,
356,APOEL Nicosia,Nauzet Pérez,0.0,0.0,0.0,0.0,0.0,6.87,6.87,Ataque,,,,,,,,,,,,,,
357,FC Bayern München,Niklas Süle,0.0,0.0,1.0,6.0,0.0,6.86,6.86,Ataque,,,,,,,,,,,,,,
358,Sporting,William Carvalho,0.0,0.0,5.0,2.0,0.0,6.86,6.86,Ataque,,,,,,,,,,,,,,
359,RSC Anderlecht,Uroš Spajić,0.0,0.0,0.0,1.0,0.0,6.86,6.86,Ataque,,,,,,,,,,,,,,
360,Benfica,Eduardo Salvio,0.0,0.0,17.0,10.0,0.0,6.86,6.86,Ataque,,,,,,,,,,,,,,
361,Manchester City,Kyle Walker,0.0,0.0,16.0,2.0,0.0,6.86,6.86,Ataque,,,,,,,,,,,,,,
362,Manchester City,Leroy Sané,0.0,1.0,30.0,16.0,0.0,6.86,6.86,Ataque,,,,,,,,,,,,,,
363,Manchester City,Ederson,0.0,0.0,0.0,0.0,0.0,6.86,6.86,Ataque,,,,,,,,,,,,,,
364,Manchester United,Sergio Romero,0.0,0.0,0.0,0.0,0.0,6.85,6.85,Ataque,,,,,,,,,,,,,,
365,Real Madrid,Kiko Casilla,0.0,0.0,0.0,0.0,0.0,6.85,6.85,Ataque,,,,,,,,,,,,,,
366,FC Spartak Moscow,Mario Pašalić,0.0,0.0,4.0,8.0,0.0,6.85,6.85,Ataque,,,,,,,,,,,,,,
367,Beşiktaş,Tolgay Arslan,0.0,0.0,6.0,2.0,0.0,6.85,6.85,Ataque,,,,,,,,,,,,,,
368,RB Leipzig,Marcel Sabitzer,0.0,0.0,4.0,12.0,0.0,6.84,6.84,Ataque,,,,,,,,,,,,,,
369,Borussia Dortmund,Mario Götze,0.0,0.0,3.0,7.0,0.0,6.84,6.84,Ataque,,,,,,,,,,,,,,
370,APOEL Nicosia,Carlão,0.0,1.0,0.0,1.0,0.0,6.84,6.84,Ataque,,,,,,,,,,,,,,
371,Juventus,Sami Khedira,0.0,1.0,4.0,5.0,0.0,6.84,6.84,Ataque,,,,,,,,,,,,,,
372,Tottenham Hotspur,Davinson Sánchez,0.0,1.0,1.0,3.0,0.0,6.84,6.84,Ataque,,,,,,,,,,,,,,
373,Shakhtar Donetsk,Ivan Ordets,0.0,2.0,0.0,5.0,0.0,6.84,6.84,Ataque,,,,,,,,,,,,,,
374,Qarabağ,Bədavi Huseynov,0.0,0.0,0.0,0.0,0.0,6.83,6.83,Ataque,,,,,,,,,,,,,,
375,Barcelona,Gerard Deulofeu,0.0,0.0,5.0,4.0,0.0,6.83,6.83,Ataque,,,,,,,,,,,,,,
376,FC Porto,Óliver Torres,0.0,0.0,4.0,5.0,0.0,6.83,6.83,Ataque,,,,,,,,,,,,,,
377,Borussia Dortmund,Maximilian Philipp,0.0,0.0,2.0,3.0,0.0,6.83,6.83,Ataque,,,,,,,,,,,,,,
378,Celtic,Nir Bitton,0.0,0.0,1.0,3.0,0.0,6.83,6.83,Ataque,,,,,,,,,,,,,,
379,Manchester United,Scott McTominay,0.0,0.0,3.0,3.0,0.0,6.83,6.83,Ataque,,,,,,,,,,,,,,
380,Beşiktaş,Fabri,0.0,0.0,0.0,0.0,0.0,6.83,6.83,Ataque,,,,,,,,,,,,,,
381,Juventus,Douglas Costa,0.0,0.0,40.0,6.0,0.0,6.83,6.83,Ataque,,,,,,,,,,,,,,
382,Benfica,Jardel,0.0,0.0,1.0,4.0,0.0,6.83,6.83,Ataque,,,,,,,,,,,,,,
383,FC Porto,Diego Reyes,0.0,0.0,1.0,0.0,0.0,6.83,6.83,Ataque,,,,,,,,,,,,,,
384,APOEL Nicosia,Jesús Rueda,0.0,0.0,2.0,2.0,0.0,6.82,6.82,Ataque,,,,,,,,,,,,,,
385,Manchester City,Fernandinho,0.0,1.0,7.0,8.0,0.0,6.81,6.81,Ataque,,,,,,,,,,,,,,
386,Basel,Tomáš Vaclík,0.0,0.0,0.0,0.0,0.0,6.81,6.81,Ataque,,,,,,,,,,,,,,
387,Basel,Marek Suchý,0.0,0.0,1.0,0.0,0.0,6.81,6.81,Ataque,,,,,,,,,,,,,,
388,Real Madrid,Theo Hernández,0.0,0.0,4.0,1.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
389,Manchester United,Zlatan Ibrahimović,0.0,0.0,0.0,2.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
390,Feyenoord,Tyrell Malacia,0.0,0.0,1.0,0.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
391,Manchester City,Benjamin Mendy,0.0,0.0,1.0,1.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
392,Shakhtar Donetsk,Serhiy Kryvtsov,0.0,0.0,0.0,0.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
393,Celtic,Cristian Gamboa,0.0,0.0,0.0,0.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
394,Napoli,Nikola Maksimović,0.0,0.0,0.0,0.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
395,APOEL Nicosia,Georgios Efrem,0.0,0.0,0.0,1.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
396,APOEL Nicosia,Minas Antoniou,0.0,0.0,0.0,0.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
397,Benfica,Gabriel Barbosa,0.0,0.0,0.0,1.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
398,Juventus,Daniele Rugani,0.0,0.0,0.0,1.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
399,Borussia Dortmund,Dan-Axel Zagadou,0.0,0.0,0.0,1.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
400,Benfica,Bruno Varela,0.0,0.0,0.0,0.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
401,Beşiktaş,Jeremain Lens,0.0,0.0,10.0,5.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
402,NK Maribor,Dare Vršič,0.0,0.0,1.0,1.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
403,CSKA Moscow,Georgi Milanov,0.0,0.0,3.0,1.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
404,Manchester City,Fabian Delph,0.0,0.0,5.0,1.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
405,Sevilla,Nolito,0.0,1.0,5.0,9.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
406,Olympiacos FC,Leonardo Koutris,0.0,0.0,2.0,2.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
407,Roma,Gerson,0.0,0.0,0.0,8.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
408,Feyenoord,Jean-Paul Boëtius,0.0,1.0,8.0,9.0,0.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
409,Atlético Madrid,Ángel Correa,0.0,1.0,8.0,10.0,0.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
410,NK Maribor,Jasmin Handanović,0.0,0.0,0.0,0.0,0.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
411,Celtic,Olivier Ntcham,0.0,0.0,4.0,8.0,0.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
412,RB Leipzig,Yussuf Poulsen,0.0,0.0,0.0,2.0,0.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
413,NK Maribor,Jean Claude Billong,0.0,0.0,0.0,2.0,0.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
414,Beşiktaş,Atiba Hutchinson,0.0,0.0,2.0,1.0,0.0,6.77,6.77,Ataque,,,,,,,,,,,,,,
415,Atlético Madrid,Stefan Savić,0.0,0.0,0.0,1.0,0.0,6.77,6.77,Ataque,,,,,,,,,,,,,,
416,Benfica,Franco Cervi,0.0,0.0,1.0,0.0,0.0,6.77,6.77,Ataque,,,,,,,,,,,,,,
417,FC Spartak Moscow,Salvatore Bocchetti,0.0,0.0,2.0,0.0,0.0,6.77,6.77,Ataque,,,,,,,,,,,,,,
418,Sporting,Stefan Ristovski,0.0,0.0,0.0,0.0,0.0,6.77,6.77,Ataque,,,,,,,,,,,,,,
419,Benfica,Raúl Jiménez,0.0,2.0,3.0,9.0,0.0,6.76,6.76,Ataque,,,,,,,,,,,,,,
